country,city,business_slice,kpi,month,monthly_value,daily_sum_in_month,weekly_sum_full_iso,weekly_sum_intersect,weekly_max,daily_max,expected_rule,comparable_across_grains,validation_basis,status,issue_note
colombia,barranquilla,Delivery moto,active_drivers,2026-04-01,52.0,197.0,222.0,71.0,71.0,12.0,not_directly_comparable,False,daily_in_month+max_scope,expected_non_comparable,Distinct count: monthly NO equivale a SUM(weekly|daily); rango vs daily_max verificado.
colombia,barranquilla,Delivery moto,revenue_yego_net,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,exact_sum,True,daily_in_month,ok,
colombia,barranquilla,Delivery moto,cancel_rate_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Delivery moto,trips_per_driver,2026-04-01,28.442307692307693,0.0,0.0,0.0,0.0,0.0,not_directly_comparable,False,formula_internal,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
colombia,bogota,Carga,commission_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bogota,Carga,trips_completed,2026-04-01,2896.0,2896.0,3307.0,3041.857142857143,1117.0,207.0,exact_sum,True,daily_in_month,warning,"SUM(daily_in_month)=2896 OK; weekly_intersect=3041.86 vs monthly=2896 (tolerancia 2x, puede deberse a parciales de semana)"
colombia,bogota,Carga,avg_ticket,2026-04-01,54958.3908839779,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bogota,Carga,active_drivers,2026-04-01,203.0,1148.0,1299.0,457.0,457.0,78.0,not_directly_comparable,False,daily_in_month+max_scope,expected_non_comparable,Distinct count: monthly NO equivale a SUM(weekly|daily); rango vs daily_max verificado.
colombia,bogota,Carga,revenue_yego_net,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,exact_sum,True,daily_in_month,ok,
colombia,bogota,Carga,cancel_rate_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bogota,Carga,trips_per_driver,2026-04-01,14.266009852216749,0.0,0.0,0.0,0.0,0.0,not_directly_comparable,False,formula_internal,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
colombia,bucaramanga,Auto regular,commission_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bucaramanga,Auto regular,trips_completed,2026-04-01,155.0,155.0,169.0,147.28571428571428,93.0,23.0,exact_sum,True,daily_in_month,warning,"SUM(daily_in_month)=155 OK; weekly_intersect=147.286 vs monthly=155 (tolerancia 2x, puede deberse a parciales de semana)"
colombia,bucaramanga,Auto regular,avg_ticket,2026-04-01,12042.58064516129,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bucaramanga,Auto regular,active_drivers,2026-04-01,2.0,12.0,13.0,8.0,8.0,2.0,not_directly_comparable,False,daily_in_month+max_scope,expected_non_comparable,Distinct count: monthly NO equivale a SUM(weekly|daily); rango vs daily_max verificado.
colombia,bucaramanga,Auto regular,revenue_yego_net,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,exact_sum,True,daily_in_month,ok,
colombia,bucaramanga,Auto regular,cancel_rate_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bucaramanga,Auto regular,trips_per_driver,2026-04-01,77.5,0.0,0.0,0.0,0.0,0.0,not_directly_comparable,False,formula_internal,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
colombia,bucaramanga,Taxi Moto,commission_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bucaramanga,Taxi Moto,trips_completed,2026-04-01,7.0,7.0,11.0,9.571428571428571,5.0,2.0,exact_sum,True,daily_in_month,warning,"SUM(daily_in_month)=7 OK; weekly_intersect=9.57143 vs monthly=7 (tolerancia 2x, puede deberse a parciales de semana)"
colombia,bucaramanga,Taxi Moto,avg_ticket,2026-04-01,14657.142857142857,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bucaramanga,Taxi Moto,active_drivers,2026-04-01,3.0,6.0,7.0,3.0,3.0,1.0,not_directly_comparable,False,daily_in_month+max_scope,expected_non_comparable,Distinct count: monthly NO equivale a SUM(weekly|daily); rango vs daily_max verificado.
colombia,bucaramanga,Taxi Moto,revenue_yego_net,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,exact_sum,True,daily_in_month,ok,
colombia,bucaramanga,Taxi Moto,cancel_rate_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bucaramanga,Taxi Moto,trips_per_driver,2026-04-01,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,not_directly_comparable,False,formula_internal,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
colombia,cali,Auto regular,commission_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,cali,Auto regular,trips_completed,2026-04-01,125248.0,125248.0,138200.0,126692.28571428571,46537.0,7530.0,exact_sum,True,daily_in_month,ok,
